controller,T_norm,E_norm,V_norm,t_settle,settled,reward,wt,wa,wv,bonus,episode
RL,0.0008,0.22029096754448702,1.0,0.008,True,0.7335127097366538,0.5,0.3,0.2,1.0,0
RL,0.002,0.220401589440804,1.0,0.02,True,0.7328795231677587,0.5,0.3,0.2,1.0,1
RL,0.0019,0.21859735935319477,1.0,0.019,True,0.7334707921940415,0.5,0.3,0.2,1.0,2
RL,0.0019,0.2192643223458687,1.0,0.019,True,0.7332707032962393,0.5,0.3,0.2,1.0,3
RL,0.002,0.21882956757986732,1.0,0.02,True,0.7333511297260398,0.5,0.3,0.2,1.0,4
RL,0.0021999999999999997,0.218951381926632,1.0,0.022,True,0.7332145854220105,0.5,0.3,0.2,1.0,5
RL,0.002,0.22062484923032305,1.0,0.02,True,0.7328125452309031,0.5,0.3,0.2,1.0,6
RL,0.002,0.21904479419390643,1.0,0.02,True,0.733286561741828,0.5,0.3,0.2,1.0,7
RL,0.0014,0.21991804024899708,1.0,0.014,True,0.7333245879253009,0.5,0.3,0.2,1.0,8
RL,0.0019,0.2211269281184384,1.0,0.019,True,0.7327119215644684,0.5,0.3,0.2,1.0,9
RL,0.0019,0.21940248822157563,1.0,0.019,True,0.7332292535335273,0.5,0.3,0.2,1.0,10
RL,0.0007,0.21888689745258913,1.0,0.007,True,0.7339839307642233,0.5,0.3,0.2,1.0,11
RL,0.0019,0.21923685943975552,1.0,0.019,True,0.7332789421680733,0.5,0.3,0.2,1.0,12
RL,0.0015,0.22001800865378335,1.0,0.015,True,0.733244597403865,0.5,0.3,0.2,1.0,13
RL,0.002,0.22175818936870778,1.0,0.02,True,0.7324725431893877,0.5,0.3,0.2,1.0,14
RL,0.2626,0.2201550366537866,1.0,2.626,True,0.602653489003864,0.5,0.3,0.2,1.0,15
RL,0.002,0.21990414137404318,1.0,0.02,True,0.733028757587787,0.5,0.3,0.2,1.0,16
RL,0.09530000000000001,0.21971327117277908,1.0,0.9530000000000001,True,0.6864360186481663,0.5,0.3,0.2,1.0,17
RL,0.0018000000000000002,0.21889807696022104,1.0,0.018000000000000002,True,0.7334305769119337,0.5,0.3,0.2,1.0,18
RL,0.0021000000000000003,0.2193708200692432,1.0,0.021,True,0.733138753979227,0.5,0.3,0.2,1.0,19
PD,1.0,0.2758454201230237,1.0,,False,-0.782753626036907,0.5,0.3,0.2,0.0,0
PD,1.0,0.2813801185336303,1.0,,False,-0.784414035560089,0.5,0.3,0.2,0.0,1
PD,1.0,0.27627660572273116,1.0,,False,-0.7828829817168192,0.5,0.3,0.2,0.0,2
PD,1.0,0.2784157053685915,1.0,,False,-0.7835247116105775,0.5,0.3,0.2,0.0,3
PD,1.0,0.2723493027470695,1.0,,False,-0.7817047908241208,0.5,0.3,0.2,0.0,4
PD,1.0,0.28140037991220346,1.0,,False,-0.7844201139736611,0.5,0.3,0.2,0.0,5
PD,1.0,0.27576140172500063,1.0,,False,-0.7827284205175002,0.5,0.3,0.2,0.0,6
PD,1.0,0.2770868899341874,1.0,,False,-0.7831260669802562,0.5,0.3,0.2,0.0,7
PD,1.0,0.2791701318956345,1.0,,False,-0.7837510395686904,0.5,0.3,0.2,0.0,8
PD,1.0,0.2751125612517968,1.0,,False,-0.7825337683755391,0.5,0.3,0.2,0.0,9
PD,1.0,0.282612631496344,1.0,,False,-0.7847837894489031,0.5,0.3,0.2,0.0,10
PD,1.0,0.2736077719329557,1.0,,False,-0.7820823315798868,0.5,0.3,0.2,0.0,11
PD,1.0,0.2745155590573127,1.0,,False,-0.7823546677171938,0.5,0.3,0.2,0.0,12
PD,1.0,0.2772834005863421,1.0,,False,-0.7831850201759025,0.5,0.3,0.2,0.0,13
PD,1.0,0.28045423569043926,1.0,,False,-0.7841362707071318,0.5,0.3,0.2,0.0,14
PD,1.0,0.27391511536274993,1.0,,False,-0.7821745346088249,0.5,0.3,0.2,0.0,15
PD,1.0,0.2823214445917272,1.0,,False,-0.7846964333775182,0.5,0.3,0.2,0.0,16
PD,1.0,0.27681467375263813,1.0,,False,-0.7830444021257914,0.5,0.3,0.2,0.0,17
PD,1.0,0.27645395586170446,1.0,,False,-0.7829361867585114,0.5,0.3,0.2,0.0,18
PD,1.0,0.2740398765255601,1.0,,False,-0.782211962957668,0.5,0.3,0.2,0.0,19
