episode,timestep,ep_reward,T_norm,E_norm,V_norm,t_settle_s,settled
1,40000,-0.7836763215161502,1.0,0.27892107172050085,1.0,,0
2,40000,-0.7848765747724644,1.0,0.2829219159082148,1.0,,0
3,40000,-0.7833279051709072,1.0,0.2777596839030244,1.0,,0
4,40000,-0.782252971544473,1.0,0.27417657181491034,1.0,,0
5,80000,-0.7835885077850773,1.0,0.2786283592835911,1.0,,0
6,80000,-0.7819715452253435,1.0,0.27323848408447865,1.0,,0
7,80000,-0.7811681008375642,1.0,0.27056033612521374,1.0,,0
8,80000,-0.7830096223422507,1.0,0.2766987411408357,1.0,,0
9,120000,-0.782505982544754,1.0,0.27501994181584677,1.0,,0
10,120000,-0.7816790221744565,1.0,0.2722634072481883,1.0,,0
11,120000,-0.7820944018557852,1.0,0.2736480061859504,1.0,,0
12,120000,-0.7811028947447882,1.0,0.27034298248262717,1.0,,0
13,160000,-0.7809943524935368,1.0,0.2699811749784562,1.0,,0
14,160000,-0.7808917373397486,1.0,0.2696391244658283,1.0,,0
15,160000,-0.7818443703582265,1.0,0.27281456786075525,1.0,,0
16,160000,-0.7813071207077358,1.0,0.27102373569245247,1.0,,0
17,200000,-0.7803870595858851,1.0,0.26795686528628343,1.0,,0
18,200000,-0.7799531669306976,1.0,0.26651055643565846,1.0,,0
19,200000,-0.7797484299172275,1.0,0.2658280997240918,1.0,,0
20,200000,-0.7802867296772835,1.0,0.26762243225761184,1.0,,0
21,240000,-0.7802040903871696,1.0,0.2673469679572324,1.0,,0
22,240000,-0.7800460700140495,1.0,0.2668202333801649,1.0,,0
23,240000,-0.7801688355992125,1.0,0.26722945199737463,1.0,,0
24,240000,-0.7799003221241034,1.0,0.26633440708034495,1.0,,0
25,280000,-0.7790880818672541,1.0,0.2636269395575139,1.0,,0
26,280000,-0.5049739402928299,0.45149999999999996,0.2640798009760997,1.0,4.515,0
27,280000,-0.7793052435890058,1.0,0.2643508119633525,1.0,,0
28,280000,-0.779340235988355,1.0,0.2644674532945166,1.0,,0
29,320000,-0.7774107263202961,1.0,0.25803575440098697,1.0,,0
30,320000,-0.27842817413559406,0.0021999999999999997,0.2577605804519802,1.0,0.022,0
31,320000,-0.7775181200320516,1.0,0.258393733440172,1.0,,0
32,320000,-0.476213410474799,0.3973,0.2585447015826633,1.0,3.973,0
33,360000,-0.3103124872907026,0.06860000000000001,0.25337495763567525,1.0,0.686,0
34,360000,-0.2834574851120771,0.0152,0.25285828370692365,1.0,0.152,0
35,360000,-0.7768082316197864,1.0,0.2560274387326217,1.0,,0
36,360000,-0.776701903210399,1.0,0.2556730107013302,1.0,,0
37,400000,-0.7760910447883285,1.0,0.25363681596109455,1.0,,0
38,400000,-0.3487696336343793,0.1476,0.24989877878126437,1.0,1.476,0
39,400000,-0.3256153258588988,0.1024,0.24805108619632926,1.0,1.024,0
40,400000,-0.6922469307704187,0.8341,0.2506564359013957,1.0,8.341,0
41,440000,-0.43733162437978035,0.3282,0.2441054145992679,1.0,3.282,0
42,440000,-0.7741486030774374,1.0,0.24716201025812454,1.0,,0
43,440000,-0.41308000220837016,0.27949999999999997,0.2444333406945673,1.0,2.795,0
44,440000,-0.4690962536289727,0.3914,0.24465417876324244,1.0,3.914,0
45,480000,-0.4006505443887024,0.2578,0.2391684812956747,1.0,2.578,0
46,480000,-0.3659011729976565,0.1883,0.23917057665885505,1.0,1.883,0
47,480000,-0.2717843430033826,0.0019,0.23611447667794194,1.0,0.019,0
48,480000,-0.7720656177872236,1.0,0.24021872595741237,1.0,,0
